,BEAN_GPS_LNG,BEAN_GPS_LAT
0,32.5971849,0.4221909
1,32.597947906,0.4271863166
2,32.6253003,0.5216429
3,32.6253136,0.5215355
4,32.6253218,0.52157
5,32.6252658,0.5215445
6,32.6253004,0.5216101
7,32.6249767,0.5217066
8,32.6252407,0.5216166
9,32.6245337,0.5227812
10,32.6244646,0.5213128
11,32.6253848,0.5215274
12,32.6252365,0.5221786
13,32.6253317,0.5215717
14,32.6253077,0.5216513
15,32.5692221,0.4316187
16,32.5692221,0.4316187
17,32.5692221,0.4316187
18,32.5692217,0.4316183
19,32.5692221,0.4316187
20,32.6252658,0.5215654
21,32.6269126,0.5203942
22,32.6287645,0.5223115
23,34.3190831,1.2988486
24,34.310033,1.2982936
25,32.5749892,0.3316693
26,34.3193978,1.2992988
27,34.319395,1.2992967
28,34.3194806,1.2993328
29,34.3193912,1.2993333
30,34.3194751,1.2992738
31,34.3195018,1.299303
32,34.3194774,1.2992777
33,34.3195684,1.2993713
34,34.3194723,1.2993036
35,34.3194913,1.2992961
36,33.4474604,1.5379137
37,33.4473653,1.5379774
38,33.4473636,1.5378949
39,34.319472,1.2993409
40,34.3194609,1.2993172
41,34.3194607,1.299303
42,33.6251378,1.7993287
43,33.6251042,1.7992918
44,33.6251066,1.7993101
45,33.6250722,1.799361
46,33.6251473,1.7993687
47,33.6251044,1.7993808
48,33.6250169,1.7993941
49,33.625161,1.7994674
50,33.625126,1.79945
51,33.625029,1.7992963
52,33.6251806,1.7991417
53,33.6250841,1.7990852
54,32.6253167,0.5215533
55,32.6253235,0.5215525
56,34.0064413,0.6920928
57,0.6920928,34.0064413
58,32.62534,0.521555
59,33.4916038,0.2191625
60,33.491632,0.2191438
61,33.4916559,0.2191367
62,32.6155365,0.5253655
63,33.7498996,0.6080662
64,33.750015,0.6081042
65,33.7499861,0.6081
66,33.7497075,0.6080456
67,33.7497385,0.6080871
68,33.7497425,0.6081605
69,33.7480346,0.6064285
70,33.7480589,0.6064768
71,33.74805,0.6064713
72,33.7480386,0.6064483
73,33.7480305,0.6064168
74,33.7480315,0.6063978
75,33.7480184,0.6063881
76,33.7480281,0.6063574
77,33.7480272,0.6063372
